popularity,title,url,year
width:6%;,#9 Dream Lyrics,http://www.metrolyrics.com/9-dream-lyrics-rem.html,2007
width:6%;,"1,000,000 Lyrics",http://www.metrolyrics.com/1000000-lyrics-rem.html,2006
width:6%;,11 Lyrics,http://www.metrolyrics.com/11-lyrics-rem.html,2007
width:6%;,11th Untitled Song Lyrics,http://www.metrolyrics.com/11th-untitled-song-lyrics-rem.html,2006
width:6%;,7 Chinese Brothers Lyrics,http://www.metrolyrics.com/7-chinese-brothers-lyrics-rem.html,2007
width:6%;,9-9 Lyrics,http://www.metrolyrics.com/99-lyrics-rem.html,2006
width:6%;,A Girl Like You Lyrics,http://www.metrolyrics.com/a-girl-like-you-lyrics-rem.html,2006
width:6%;,A Month Of Saturdays Lyrics,http://www.metrolyrics.com/a-month-of-saturdays-lyrics-rem.html,2011
width:6%;,Academy Fight Song Lyrics,http://www.metrolyrics.com/academy-fight-song-lyrics-rem.html,2006
width:6%;,Accelerate Lyrics,http://www.metrolyrics.com/accelerate-lyrics-rem.html,2008
width:6%;,Action Lyrics,http://www.metrolyrics.com/action-lyrics-rem.html,2006
width:6%;,Aftermath Lyrics,http://www.metrolyrics.com/aftermath-lyrics-rem.html,2004
width:6%;,Ages Of You Lyrics,http://www.metrolyrics.com/ages-of-you-lyrics-rem.html,2006
width:6%;,Airportman Lyrics,http://www.metrolyrics.com/airportman-lyrics-rem.html,2006
width:6%;,"All I Have To Do Is, Dream Lyrics",http://www.metrolyrics.com/all-i-have-to-do-is-dream-lyrics-rem.html,2006
width:6%;,All The Best Lyrics,http://www.metrolyrics.com/all-the-best-lyrics-rem.html,2011
width:13.726078121136%;,All The Right Friends Lyrics,http://www.metrolyrics.com/all-the-right-friends-lyrics-rem.html,2003
width:6%;,All the Way to Reno Lyrics,http://www.metrolyrics.com/all-the-way-to-reno-lyrics-rem.html,2003
width:6%;,All The Way To Reno (You're Gonna Be A Star) Lyrics,http://www.metrolyrics.com/all-the-way-to-reno-youre-gonna-be-a-star-lyrics-rem.html,2006
width:6%;,Alligator Aviator Autopilot Antimatter Lyrics,http://www.metrolyrics.com/alligator-aviator-autopilot-antimatter-lyrics-rem.html,2011
width:6%;,Andy Gets Fired Lyrics,http://www.metrolyrics.com/andy-gets-fired-lyrics-rem.html,2008
width:13.726078121136%;,Animal Lyrics,http://www.metrolyrics.com/animal-lyrics-rem.html,2003
width:13.726078121136%;,Arms Of Love Lyrics,http://www.metrolyrics.com/arms-of-love-lyrics-rem.html,2006
width:6%;,Around The Sun Lyrics,http://www.metrolyrics.com/around-the-sun-lyrics-rem.html,2004
width:6%;,At My Most Beautiful Lyrics,http://www.metrolyrics.com/at-my-most-beautiful-lyrics-rem.html,2003
width:6%;,At My Most Beautifull Lyrics,http://www.metrolyrics.com/at-my-most-beautifull-lyrics-rem.html,2006
width:6%;,Auctioneer Lyrics,http://www.metrolyrics.com/auctioneer-lyrics-rem.html,2006
width:6%;,Auctioneer (another Engine) Lyrics,http://www.metrolyrics.com/auctioneer-another-engine-lyrics-rem.html,2006
width:6%;,ÃœBerlin Lyrics,http://www.metrolyrics.com/aaberlin-lyrics-rem.html,2011
width:6%;,Baby Baby Lyrics,http://www.metrolyrics.com/baby-baby-lyrics-rem.html,2006
width:6%;,"Baby, I Lyrics",http://www.metrolyrics.com/baby-i-lyrics-rem.html,2006
width:35.481397225105%;,Bad Day Lyrics,http://www.metrolyrics.com/bad-day-lyrics-rem.html,2003
width:6%;,Bandwagon Lyrics,http://www.metrolyrics.com/bandwagon-lyrics-rem.html,2006
width:27.452156242272%;,Bang And Blame Lyrics,http://www.metrolyrics.com/bang-and-blame-lyrics-rem.html,2006
width:6%;,Be Mine Lyrics,http://www.metrolyrics.com/be-mine-lyrics-rem.html,2006
width:6%;,Beach Ball Lyrics,http://www.metrolyrics.com/beach-ball-lyrics-rem.html,2006
width:21.755319103969%;,Beat A Drum Lyrics,http://www.metrolyrics.com/beat-a-drum-lyrics-rem.html,2014
width:27.452156242272%;,Begin The Begin Lyrics,http://www.metrolyrics.com/begin-the-begin-lyrics-rem.html,2011
width:6%;,Belong Lyrics,http://www.metrolyrics.com/belong-lyrics-rem.html,2014
width:6%;,Binky The Doormat Lyrics,http://www.metrolyrics.com/binky-the-doormat-lyrics-rem.html,2006
width:27.452156242272%;,Bittersweet Me Lyrics,http://www.metrolyrics.com/bittersweet-me-lyrics-rem.html,2006
width:6%;,Blue Lyrics,http://www.metrolyrics.com/blue-lyrics-rem.html,2011
width:6%;,Body Count Lyrics,http://www.metrolyrics.com/body-count-lyrics-rem.html,2006
width:6%;,Burning Down Lyrics,http://www.metrolyrics.com/burning-down-lyrics-rem.html,2006
width:6%;,Burning Hell Lyrics,http://www.metrolyrics.com/burning-hell-lyrics-rem.html,2006
width:13.726078121136%;,Camera Lyrics,http://www.metrolyrics.com/camera-lyrics-rem.html,2006
width:6%;,Can't Get There From Here Lyrics,http://www.metrolyrics.com/cant-get-there-from-here-lyrics-rem.html,2006
width:6%;,Carnival of Sorts Lyrics,http://www.metrolyrics.com/carnival-of-sorts-lyrics-rem.html,2006
width:6%;,Carnival Of Sorts (box Cars) Lyrics,http://www.metrolyrics.com/carnival-of-sorts-box-cars-lyrics-rem.html,2006
width:13.726078121136%;,Catapult Lyrics,http://www.metrolyrics.com/catapult-lyrics-rem.html,2006
width:6%;,Chance Lyrics,http://www.metrolyrics.com/chance-lyrics-rem.html,2006
width:6%;,Chorus and he Ring Lyrics,http://www.metrolyrics.com/chorus-and-he-ring-lyrics-rem.html,2016
width:6%;,Chorus And The Ring Lyrics,http://www.metrolyrics.com/chorus-and-the-ring-lyrics-rem.html,2006
width:6%;,Christmas Griping Lyrics,http://www.metrolyrics.com/christmas-griping-lyrics-rem.html,2018
width:6%;,Circus Envy Lyrics,http://www.metrolyrics.com/circus-envy-lyrics-rem.html,2006
width:31.870966422084%;,Country Feedback Lyrics,http://www.metrolyrics.com/country-feedback-lyrics-rem.html,2011
width:27.452156242272%;,Crazy Lyrics,http://www.metrolyrics.com/crazy-lyrics-rem.html,2006
width:38.533972973918%;,Crush With Eyeliner Lyrics,http://www.metrolyrics.com/crush-with-eyeliner-lyrics-rem.html,2006
width:13.726078121136%;,Cuyahoga Lyrics,http://www.metrolyrics.com/cuyahoga-lyrics-rem.html,2014
width:6%;,Dangerous Times Lyrics,http://www.metrolyrics.com/dangerous-times-lyrics-rem.html,2006
width:6%;,Dark Globe Lyrics,http://www.metrolyrics.com/dark-globe-lyrics-rem.html,2006
width:35.481397225105%;,Daysleeper Lyrics,http://www.metrolyrics.com/daysleeper-lyrics-rem.html,2003
width:6%;,Deck The Halls Lyrics,http://www.metrolyrics.com/deck-the-halls-lyrics-rem.html,2016
width:6%;,Departure Lyrics,http://www.metrolyrics.com/departure-lyrics-rem.html,2006
width:6%;,Diminished Lyrics,http://www.metrolyrics.com/diminished-lyrics-rem.html,2006
width:6%;,Diminished/I'm Not Over You Lyrics,http://www.metrolyrics.com/diminishedim-not-over-you-lyrics-rem.html,2016
width:13.726078121136%;,Disappear Lyrics,http://www.metrolyrics.com/disappear-lyrics-rem.html,2014
width:6%;,Discover Lyrics,http://www.metrolyrics.com/discover-lyrics-rem.html,2010
width:6%;,Discoverer Lyrics,http://www.metrolyrics.com/discoverer-lyrics-rem.html,2011
width:13.726078121136%;,Disguised Lyrics,http://www.metrolyrics.com/disguised-lyrics-rem.html,2016
width:13.726078121136%;,Disturbance At The Heron House Lyrics,http://www.metrolyrics.com/disturbance-at-the-heron-house-lyrics-rem.html,2008
width:6%;,Don't Go Back To Rockville Lyrics,http://www.metrolyrics.com/dont-go-back-to-rockville-lyrics-rem.html,2011
width:6%;,Draggin' The Line Lyrics,http://www.metrolyrics.com/draggin-the-line-lyrics-rem.html,2006
width:6%;,Dragging The Line Lyrics,http://www.metrolyrics.com/dragging-the-line-lyrics-rem.html,2007
width:47.484428652143%;,Drive Lyrics,http://www.metrolyrics.com/drive-lyrics-rem.html,2006
width:27.452156242272%;,Driver 8 Lyrics,http://www.metrolyrics.com/driver-8-lyrics-rem.html,2011
width:35.481397225105%;,E-bow The Letter Lyrics,http://www.metrolyrics.com/ebow-the-letter-lyrics-rem.html,2003
width:27.452156242272%;,Electrolite Lyrics,http://www.metrolyrics.com/electrolite-lyrics-rem.html,2003
width:6%;,Electron Blue Lyrics,http://www.metrolyrics.com/electron-blue-lyrics-rem.html,2004
width:6%;,"Eleventh, Untitled Song Lyrics",http://www.metrolyrics.com/eleventh-untitled-song-lyrics-rem.html,2006
width:6%;,End of the World As We Know It Lyrics,http://www.metrolyrics.com/end-of-the-world-as-we-know-it-lyrics-rem.html,2007
width:6%;,ENDGAME Lyrics,http://www.metrolyrics.com/endgame-lyrics-rem.html,2014
width:53.626285526054%;,Everbody Hurts Lyrics,http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,2006
width:6%;,Every Day Is Yours to Win Lyrics,http://www.metrolyrics.com/every-day-is-yours-to-win-lyrics-rem.html,2011
width:67.35236364719%;,Everybody Hurts Lyrics,http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,2003
width:6%;,Exhuming Mccarthy Lyrics,http://www.metrolyrics.com/exhuming-mccarthy-lyrics-rem.html,2008
width:62.933553467377%;,Fall On Me Lyrics,http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,2011
width:6%;,Falls To Climb Lyrics,http://www.metrolyrics.com/falls-to-climb-lyrics-rem.html,2006
width:6%;,Feeling Gravity's Pull Lyrics,http://www.metrolyrics.com/feeling-gravitys-pull-lyrics-rem.html,2006
width:6%;,Femme Fatale Lyrics,http://www.metrolyrics.com/femme-fatale-lyrics-rem.html,2006
width:6%;,Final Straw Lyrics,http://www.metrolyrics.com/final-straw-lyrics-rem.html,2008
width:43.510638207939%;,Find The River Lyrics,http://www.metrolyrics.com/find-the-river-lyrics-rem.html,2014
width:13.726078121136%;,Finest Worksong Lyrics,http://www.metrolyrics.com/finest-worksong-lyrics-rem.html,2008
width:6%;,Fireplace Lyrics,http://www.metrolyrics.com/fireplace-lyrics-rem.html,2008
width:6%;,First We Take Manhattan Lyrics,http://www.metrolyrics.com/first-we-take-manhattan-lyrics-rem.html,2006
width:21.755319103969%;,Fretless Lyrics,http://www.metrolyrics.com/fretless-lyrics-rem.html,2014
width:6%;,Funtime Lyrics,http://www.metrolyrics.com/funtime-lyrics-rem.html,2006
width:6%;,Furry Happy Monsters Lyrics,http://www.metrolyrics.com/furry-happy-monsters-lyrics-rem.html,2007
width:41.178234363408%;,Future 40's (string Of Pearls) Lyrics,http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,2006
width:21.755319103969%;,Gardening At Night Lyrics,http://www.metrolyrics.com/gardening-at-night-lyrics-rem.html,2011
width:6%;,Get Up Lyrics,http://www.metrolyrics.com/get-up-lyrics-rem.html,2011
width:6%;,Ghost Rider Lyrics,http://www.metrolyrics.com/ghost-rider-lyrics-rem.html,2006
width:6%;,Good Advices Lyrics,http://www.metrolyrics.com/good-advices-lyrics-rem.html,2006
width:13.726078121136%;,Green Grow The Rushes Lyrics,http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,2006
width:6%;,Hairshirt Lyrics,http://www.metrolyrics.com/hairshirt-lyrics-rem.html,2006
width:6%;,Half A World Away Lyrics,http://www.metrolyrics.com/half-a-world-away-lyrics-rem.html,2014
width:6%;,Hallellujah Lyrics,http://www.metrolyrics.com/hallellujah-lyrics-rem.html,2011
width:6%;,Hallelujah Lyrics,http://www.metrolyrics.com/hallelujah-lyrics-rem.html,2011
width:6%;,Harborcoat Lyrics,http://www.metrolyrics.com/harborcoat-lyrics-rem.html,2006
width:6%;,"Hey, Hey, Nadine Lyrics",http://www.metrolyrics.com/hey-hey-nadine-lyrics-rem.html,2006
width:6%;,High Speed Train Lyrics,http://www.metrolyrics.com/high-speed-train-lyrics-rem.html,2004
width:27.452156242272%;,Hollow Man Lyrics,http://www.metrolyrics.com/hollow-man-lyrics-rem.html,2008
width:6%;,Hope Lyrics,http://www.metrolyrics.com/hope-lyrics-rem.html,2006
width:21.755319103969%;,Horse To Water Lyrics,http://www.metrolyrics.com/horse-to-water-lyrics-rem.html,2008
width:13.726078121136%;,Houston Lyrics,http://www.metrolyrics.com/houston-lyrics-rem.html,2008
width:6%;,How The West Was Won And Where It Got Us Lyrics,http://www.metrolyrics.com/how-the-west-was-won-and-where-it-got-us-lyrics-rem.html,2006
width:13.726078121136%;,Hyena Lyrics,http://www.metrolyrics.com/hyena-lyrics-rem.html,2006
width:21.755319103969%;,I Believe Lyrics,http://www.metrolyrics.com/i-believe-lyrics-rem.html,2006
width:6%;,"I Don't Sleep, I Dream Lyrics",http://www.metrolyrics.com/i-dont-sleep-i-dream-lyrics-rem.html,2006
width:6%;,I Remember California Lyrics,http://www.metrolyrics.com/i-remember-california-lyrics-rem.html,2006
width:6%;,I Took Your Name Lyrics,http://www.metrolyrics.com/i-took-your-name-lyrics-rem.html,2006
width:6%;,I Walked With A Zombie Lyrics,http://www.metrolyrics.com/i-walked-with-a-zombie-lyrics-rem.html,2006
width:6%;,I Wanted to Be Wrong Lyrics,http://www.metrolyrics.com/i-wanted-to-be-wrong-lyrics-rem.html,2004
width:6%;,I'll Take The Rain Lyrics,http://www.metrolyrics.com/ill-take-the-rain-lyrics-rem.html,2014
width:6%;,I'm Gonna DJ Lyrics,http://www.metrolyrics.com/im-gonna-dj-lyrics-rem.html,2008
width:6%;,I'm Not Over You Lyrics,http://www.metrolyrics.com/im-not-over-you-lyrics-rem.html,2006
width:6%;,I've Been High Lyrics,http://www.metrolyrics.com/ive-been-high-lyrics-rem.html,2014
width:35.481397225105%;,Ignoreland Lyrics,http://www.metrolyrics.com/ignoreland-lyrics-rem.html,2006
width:38.533972973918%;,Imitation Of Life Lyrics,http://www.metrolyrics.com/imitation-of-life-lyrics-rem.html,2003
width:6%;,It Happened Today Lyrics,http://www.metrolyrics.com/it-happened-today-lyrics-rem.html,2011
width:6%;,It Happens Today Lyrics,http://www.metrolyrics.com/it-happens-today-lyrics-rem.html,2011
width:6%;,It's A Free World Baby Lyrics,http://www.metrolyrics.com/its-a-free-world-baby-lyrics-rem.html,2006
width:100%;,It's The End Of The World Lyrics,http://www.metrolyrics.com/its-the-end-of-the-world-lyrics-rem.html,2008
width:38.533972973918%;,It's The End of The World as We Know It Lyrics,http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-lyrics-rem.html,2008
width:57.236716329075%;,It's The End Of The World As We Know It (and I Feel Fine) Lyrics,http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-and-i-feel-fine-lyrics-rem.html,2014
width:6%;,Just a Touch Lyrics,http://www.metrolyrics.com/just-a-touch-lyrics-rem.html,2006
width:13.726078121136%;,King of Birds Lyrics,http://www.metrolyrics.com/king-of-birds-lyrics-rem.html,2008
width:6%;,King Of Comedy Lyrics,http://www.metrolyrics.com/king-of-comedy-lyrics-rem.html,2006
width:6%;,King Of The Road Lyrics,http://www.metrolyrics.com/king-of-the-road-lyrics-rem.html,2006
width:13.726078121136%;,Kohoutek Lyrics,http://www.metrolyrics.com/kohoutek-lyrics-rem.html,2006
width:6%;,Laughing Lyrics,http://www.metrolyrics.com/laughing-lyrics-rem.html,2006
width:6%;,Leave Lyrics,http://www.metrolyrics.com/leave-lyrics-rem.html,2006
width:31.870966422084%;,Leaving New York Lyrics,http://www.metrolyrics.com/leaving-new-york-lyrics-rem.html,2004
width:27.452156242272%;,Let Me In Lyrics,http://www.metrolyrics.com/let-me-in-lyrics-rem.html,2006
width:6%;,Letter Never Sent Lyrics,http://www.metrolyrics.com/letter-never-sent-lyrics-rem.html,2006
width:6%;,Life And How To Live It Lyrics,http://www.metrolyrics.com/life-and-how-to-live-it-lyrics-rem.html,2011
width:6%;,Lightnin' Hopkins Lyrics,http://www.metrolyrics.com/lightnin-hopkins-lyrics-rem.html,2008
width:6%;,Lisa Sez Lyrics,http://www.metrolyrics.com/lisa-sez-lyrics-rem.html,2006
